04.07.2016 18:45:49,UV: 5;
04.07.2016 18:45:49, Vorhermessung;
04.07.2016 18:49:55,   ; 948    ; 8,83176;
04.07.2016 18:49:56,   ; 951    ; 8,944272;
04.07.2016 18:49:57,   ; 958    ; 9,486833;
04.07.2016 18:49:58,   ; 951    ; 9,055386;
04.07.2016 18:49:58,   ; 954    ; 7,348469;
04.07.2016 18:49:59,   ; 945    ; 7,017834;
04.07.2016 18:50:00,   ; 914    ; 16,94845;
04.07.2016 18:50:01,   ; 902    ; 17,63519;
04.07.2016 18:50:02,   ; 903    ; 17,29162;
04.07.2016 18:50:03,   ; 911    ; 17,68474;
04.07.2016 18:50:04,   ; 922    ; 17,96524;
04.07.2016 18:50:05,   ; 926    ; 9,300538;
04.07.2016 18:50:06,   ; 897    ; 16,14775;
04.07.2016 18:50:07,   ; 905    ; 16,62829;
04.07.2016 18:50:07,   ; 907    ; 16,17096;
04.07.2016 18:50:08,   ; 927    ; 18,20028;
04.07.2016 18:50:09,   ; 919    ; 18,52701;
04.07.2016 18:50:10,   ; 907    ; 13;
04.07.2016 18:50:11,   ; 908    ; 12,37942;
04.07.2016 18:50:12,   ; 900    ; 12,97112;
04.07.2016 18:50:13,   ; 909    ; 9,407444;
04.07.2016 18:50:14,   ; 929    ; 13,13393;
04.07.2016 18:50:15,   ; 921    ; 12,34909;
04.07.2016 18:50:16,   ; 915    ; 12,69843;
04.07.2016 18:50:16,   ; 905    ; 13,04799;
04.07.2016 18:50:17,   ; 925    ; 15,81139;
04.07.2016 18:50:18,   ; 937    ; 13,63818;
04.07.2016 18:50:19,   ; 922    ; 15,04161;
04.07.2016 18:50:20,   ; 914    ; 15,27252;
04.07.2016 18:50:21,   ; 916    ; 14,46548;
04.07.2016 18:50:22,   ; 926    ; 11,58663;
04.07.2016 18:50:23,   ; 949    ; 15,18223;
04.07.2016 18:50:24,   ; 976    ; 18,88121;
04.07.2016 18:50:24,   ; 912    ; 36,93914;
04.07.2016 18:50:25,   ; 920    ; 37,14162;
04.07.2016 18:50:26,   ; 923    ; 36,83409;
04.07.2016 18:50:27,   ; 950    ; 37,50666;
04.07.2016 18:50:28,   ; 985    ; 39,1248;
04.07.2016 18:50:29,   ; 946    ; 29,78255;
04.07.2016 18:50:30,   ; 945    ; 29,51694;
04.07.2016 18:50:31,   ; 939    ; 29,63107;
04.07.2016 18:50:32,   ; 955    ; 27,56356;
04.07.2016 18:50:33,   ; 975    ; 23,52658;
04.07.2016 18:50:34,   ; 971    ; 13,31353;
04.07.2016 18:50:35,   ; 969    ; 13,34166;
04.07.2016 18:50:36,   ; 978    ; 13,75682;
04.07.2016 18:50:37,   ; 986    ; 11,88486;
04.07.2016 18:50:38,   ; 999    ; 9,137834;
04.07.2016 18:50:39,   ; 981    ; 12,66886;
04.07.2016 18:50:40,   ; 957    ; 17,42125;
04.07.2016 18:50:40,   ; 952    ; 17,0147;
04.07.2016 18:50:41,   ; 952    ; 16,53784;
04.07.2016 18:50:42,   ; 953    ; 15,21512;
04.07.2016 18:50:43,   ; 924    ; 18,99342;
